2.92E-02,2.27E-02,1.24E-01,6.60E+00,8.34E-01,5.72E+00,,0%,3%,2%
-7.96E-03,-5.96E-02,1.27E-02,6.02E+00,1.86E+00,5.72E+00,,0%,-3%,0%
2.48E-02,-3.81E-02,-1.78E-02,3.77E+00,2.32E+00,1.09E+00,,1%,-2%,-2%
2.41E-02,-7.01E-03,3.43E-02,4.43E+00,4.69E+00,1.09E+00,,1%,0%,3%
2.51E-02,-7.33E-02,-3.76E-02,5.03E+00,2.94E+00,1.09E+00,,1%,-2%,-3%
-1.18E-01,1.52E-02,-6.52E-02,2.50E+00,1.14E+00,5.72E+00,,-5%,1%,-1%
-9.04E-02,3.62E-02,4.11E-02,4.33E+00,4.35E+00,1.09E+00,,-2%,1%,4%
-2.00E-02,-4.48E-02,6.57E-02,4.92E+00,4.02E+00,5.72E+00,,0%,-1%,1%
3.39E-02,-1.39E-01,2.67E-02,6.50E+00,2.94E+00,5.72E+00,,1%,-5%,0%
-2.72E-02,-3.95E-02,-6.77E-03,4.19E+00,1.41E+00,1.09E+00,,-1%,-3%,-1%
1.40E-02,-8.27E-02,2.40E-02,5.13E+00,1.49E+00,5.72E+00,,0%,-6%,0%
3.00E-02,1.19E-02,5.24E-02,3.28E+00,2.75E+00,5.72E+00,,1%,0%,1%
-1.42E-02,-3.51E-02,-1.75E-02,2.01E+00,2.54E+00,1.09E+00,,-1%,-1%,-2%
9.23E-03,-3.99E-02,1.41E-02,5.37E+00,4.88E+00,5.72E+00,,0%,-1%,0%
6.73E-03,-5.29E-02,5.34E-03,5.39E+00,4.88E+00,5.72E+00,,0%,-1%,0%
2.18E-02,-5.17E-02,-7.38E-02,6.70E+00,3.85E+00,1.09E+00,,0%,-1%,-7%
9.59E-02,-1.76E-02,3.82E-02,4.60E+00,5.10E+00,1.09E+00,,2%,0%,3%
-1.91E-02,-7.07E-02,-1.86E-02,3.46E+00,3.70E+00,5.72E+00,,-1%,-2%,0%
-5.83E-03,-6.81E-02,-2.11E-02,4.75E+00,2.32E+00,1.09E+00,,0%,-3%,-2%
8.83E-03,-7.60E-04,-2.01E-02,3.46E+00,2.58E+00,1.09E+00,,0%,0%,-2%
-9.12E-02,5.52E-02,8.02E-03,2.85E+00,7.14E-01,5.72E+00,,-3%,8%,0%
7.10E-02,-1.27E-01,5.94E-02,2.68E+00,5.42E+00,1.09E+00,,3%,-2%,5%
2.99E-02,-4.33E-02,-8.24E-03,3.67E+00,1.67E+00,1.09E+00,,1%,-3%,-1%
1.65E-02,4.47E-02,-3.51E-02,5.59E+00,8.79E-01,5.72E+00,,0%,5%,-1%
-6.57E-03,-3.42E-02,-3.37E-02,6.50E+00,4.59E+00,5.72E+00,,0%,-1%,-1%
-1.33E-03,3.21E-02,9.09E-04,2.57E+00,2.84E+00,1.09E+00,,0%,1%,0%
-6.36E-02,-1.14E-02,2.70E-02,4.79E+00,4.59E+00,1.09E+00,,-1%,0%,2%
-2.39E-02,-5.72E-02,-1.11E-02,4.63E+00,2.08E+00,1.09E+00,,-1%,-3%,-1%
6.49E-02,-6.18E-02,-4.62E-02,2.42E+00,5.37E+00,1.09E+00,,3%,-1%,-4%
-8.01E-02,2.39E-01,-1.47E-01,1.85E+00,4.35E+00,5.72E+00,,-4%,5%,-3%
-1.02E-02,-4.84E-02,-4.23E-02,5.84E+00,2.14E+00,5.72E+00,,0%,-2%,-1%
-5.60E-03,-5.83E-02,5.60E-02,4.63E+00,4.56E+00,5.72E+00,,0%,-1%,1%
-3.87E-02,-5.66E-02,1.41E-02,2.95E+00,2.75E+00,5.72E+00,,-1%,-2%,0%
-1.23E-02,-7.35E-02,2.92E-02,3.28E+00,4.97E+00,1.09E+00,,0%,-1%,3%
1.36E-02,-1.08E-01,2.78E-02,5.22E+00,1.97E+00,5.72E+00,,0%,-5%,0%
-2.16E-02,-1.03E-02,2.83E-02,4.28E+00,4.42E+00,1.09E+00,,-1%,0%,3%
-2.20E-04,-9.18E-03,-1.28E-02,2.54E+00,2.04E+00,1.09E+00,,0%,0%,-1%
1.92E-02,8.60E-03,1.87E-02,3.19E+00,4.02E+00,5.72E+00,,1%,0%,0%
-1.79E-02,-5.96E-02,-4.05E-02,2.01E+00,2.58E+00,1.09E+00,,-1%,-2%,-4%
1.79E-02,3.52E-02,1.34E-02,3.10E+00,4.28E+00,5.72E+00,,1%,1%,0%
-8.87E-04,-7.56E-02,5.20E-02,6.18E+00,1.49E+00,5.72E+00,,0%,-5%,1%
-9.54E-03,2.08E-01,-7.29E-02,6.83E+00,2.15E+00,1.09E+00,,0%,10%,-7%
-1.16E-03,4.16E-02,3.84E-02,3.16E+00,1.05E+00,1.09E+00,,0%,4%,4%
6.13E-02,-1.08E-02,-1.54E-01,1.93E+00,5.12E+00,1.09E+00,,3%,0%,-14%
-1.53E-02,-8.51E-02,-5.20E-03,2.50E+00,3.52E+00,5.72E+00,,-1%,-2%,0%
-3.38E-02,4.00E-02,-7.10E-03,2.68E+00,3.52E+00,5.72E+00,,-1%,1%,0%
-1.64E-02,6.89E-02,-4.95E-02,6.74E+00,2.08E+00,1.09E+00,,0%,3%,-5%
-8.09E-03,-7.10E-02,6.07E-02,5.08E+00,3.85E+00,5.72E+00,,0%,-2%,1%
-7.34E-02,-6.43E-02,-1.98E-02,2.88E+00,1.73E+00,5.72E+00,,-3%,-4%,0%
2.47E-03,-1.33E-02,-1.18E-02,3.91E+00,2.94E+00,1.09E+00,,0%,0%,-1%
-1.44E-02,-5.90E-02,5.02E-03,4.51E+00,2.44E+00,5.72E+00,,0%,-2%,0%
-7.24E-02,3.26E-02,-6.61E-03,2.64E+00,3.76E+00,1.09E+00,,-3%,1%,-1%
-4.97E-02,-1.94E-02,-1.74E-02,4.04E+00,4.15E+00,5.72E+00,,-1%,0%,0%
4.05E-02,-1.02E-01,9.90E-03,2.57E+00,4.35E+00,5.72E+00,,2%,-2%,0%
-6.30E-04,-1.15E-01,-8.22E-02,5.63E+00,4.25E+00,5.72E+00,,0%,-3%,-1%
1.80E-02,-3.20E-02,1.13E-01,6.50E+00,8.79E-01,5.72E+00,,0%,-4%,2%
1.40E-02,-8.02E-02,-1.06E-02,5.44E+00,4.59E+00,5.72E+00,,0%,-2%,0%
6.07E-02,-2.06E-02,-1.21E-01,2.17E+00,5.24E+00,1.09E+00,,3%,0%,-11%
-2.89E-02,-3.18E-03,2.57E-02,2.76E+00,4.42E+00,1.09E+00,,-1%,0%,2%
5.00E-02,-1.45E-01,-1.01E-01,6.70E+00,5.12E+00,1.09E+00,,1%,-3%,-9%
4.45E-03,-1.10E-01,-7.98E-03,6.50E+00,3.85E+00,1.09E+00,,0%,-3%,-1%
7.25E-03,-3.52E-02,-2.84E-02,3.57E+00,2.14E+00,5.72E+00,,0%,-2%,0%
-1.55E-02,-4.95E-02,-7.15E-02,5.93E+00,4.15E+00,5.72E+00,,0%,-1%,-1%
-1.30E-01,-8.44E-02,-2.54E-02,2.79E+00,1.32E+00,5.72E+00,,-5%,-6%,0%
1.47E-02,-2.13E-02,-4.87E-02,5.63E+00,1.58E+00,5.72E+00,,0%,-1%,-1%
-3.55E-03,-7.67E-02,-1.24E-02,5.03E+00,4.28E+00,1.09E+00,,0%,-2%,-1%
8.14E-03,-4.29E-02,-2.86E-02,5.19E+00,8.79E-01,1.09E+00,,0%,-5%,-3%
-3.16E-02,9.40E-02,-7.99E-02,6.10E+00,5.12E+00,5.72E+00,,-1%,2%,-1%
1.82E-02,2.13E-02,1.98E-02,3.16E+00,3.93E+00,5.72E+00,,1%,1%,0%
2.19E-02,-5.90E-04,2.58E-02,3.28E+00,3.52E+00,5.72E+00,,1%,0%,0%
-3.81E-03,-7.35E-02,3.32E-02,5.03E+00,2.04E+00,5.72E+00,,0%,-4%,1%
2.47E-02,-1.06E-01,2.88E-02,6.18E+00,1.73E+00,1.09E+00,,0%,-6%,3%
1.30E-01,-2.21E-01,7.63E-02,3.46E+00,8.34E-01,5.72E+00,,4%,-26%,1%
-3.19E-02,-5.67E-02,-1.32E-01,1.92E+00,5.12E+00,5.72E+00,,-2%,-1%,-2%
-1.71E-02,-1.43E-01,5.31E-02,6.50E+00,9.06E-01,1.09E+00,,0%,-16%,5%
-1.55E-02,-9.55E-02,-3.59E-02,4.98E+00,1.21E+00,1.09E+00,,0%,-8%,-3%
-1.52E-02,-3.26E-03,4.28E-02,6.07E+00,1.14E+00,5.72E+00,,0%,0%,1%
-2.89E-02,-1.01E-01,-2.50E-02,3.57E+00,4.97E+00,5.72E+00,,-1%,-2%,0%
-9.50E-04,-7.97E-02,4.85E-03,6.07E+00,5.17E+00,1.09E+00,,0%,-2%,0%
-4.58E-02,2.41E-03,-1.46E-02,3.97E+00,4.63E+00,5.72E+00,,-1%,0%,0%
-9.52E-03,-8.65E-02,-5.55E-02,5.93E+00,3.62E+00,5.72E+00,,0%,-2%,-1%
4.23E-03,-3.25E-02,9.17E-03,2.79E+00,1.73E+00,1.09E+00,,0%,-2%,1%
1.79E-02,3.88E-03,6.02E-02,3.19E+00,2.44E+00,5.72E+00,,1%,0%,1%
1.16E-02,-7.24E-02,2.15E-02,6.32E+00,3.08E+00,1.09E+00,,0%,-2%,2%
2.35E-02,-1.60E-02,2.23E-02,3.38E+00,2.75E+00,5.72E+00,,1%,-1%,0%
3.83E-03,2.50E-02,8.07E-02,4.79E+00,5.17E+00,5.72E+00,,0%,0%,1%
1.35E-02,-8.87E-02,2.43E-02,6.31E+00,2.75E+00,1.09E+00,,0%,-3%,2%
2.57E-02,-7.10E-02,-1.38E-02,3.37E+00,5.24E+00,5.72E+00,,1%,-1%,0%
3.32E-02,5.59E-02,-2.52E-02,2.09E+00,1.86E+00,5.72E+00,,2%,3%,0%
3.38E-02,-3.65E-02,-7.40E-02,1.85E+00,5.24E+00,1.09E+00,,2%,-1%,-7%
-4.61E-02,1.88E-03,-5.51E-02,3.77E+00,2.32E+00,5.72E+00,,-1%,0%,-1%
-4.06E-03,-1.23E-02,-4.92E-03,4.27E+00,3.03E+00,1.09E+00,,0%,0%,0%
-1.26E-02,-1.03E-01,-2.25E-02,3.50E+00,4.97E+00,5.72E+00,,0%,-2%,0%
-2.62E-02,-8.77E-02,3.41E-02,4.60E+00,3.59E+00,5.72E+00,,-1%,-2%,1%
-3.67E-02,-4.70E-02,-3.46E-03,2.09E+00,2.08E+00,1.09E+00,,-2%,-2%,0%
2.12E-02,-6.79E-02,5.43E-02,4.51E+00,5.17E+00,5.72E+00,,0%,-1%,1%
-1.25E-01,-8.30E-02,-2.00E-02,2.85E+00,1.20E+00,5.72E+00,,-4%,-7%,0%
-8.44E-02,-2.59E-02,-1.83E-01,1.85E+00,5.10E+00,5.72E+00,,-5%,-1%,-3%
1.46E-02,-2.01E-02,-4.94E-02,5.63E+00,1.67E+00,5.72E+00,,0%,-1%,-1%
-1.03E-01,-7.83E-02,-2.91E-02,2.68E+00,1.97E+00,5.72E+00,,-4%,-4%,-1%
